date,Astrology,Horoscope,Fortune telling,Psychic,Tarot reading,Numerology,Palm reading,Clairvoyant,Crystal ball,Spiritual healing,Witchcraft,Mediumship,Superstition
2015-06-21,69,64,30,75,75,48,58,84,66,77,67,0,50
2015-06-28,96,67,0,79,76,55,65,77,50,0,44,0,47
2015-07-05,77,60,0,70,80,47,32,75,52,0,57,0,70
2015-07-12,67,60,0,70,71,52,67,61,55,0,78,0,82
2015-07-19,80,60,0,73,84,50,37,77,32,49,72,0,88
2015-07-26,77,62,0,75,75,53,48,77,58,0,70,0,80
2015-08-02,79,62,34,63,72,50,47,80,59,0,66,0,53
2015-08-09,71,61,0,67,63,49,56,63,58,42,71,0,78
2015-08-16,65,62,0,67,76,52,63,59,41,44,63,0,62
2015-08-23,73,63,0,73,74,45,42,66,41,45,50,0,75
2015-08-30,78,65,0,64,68,49,65,62,57,46,75,0,64
2015-09-06,70,62,0,85,69,54,58,72,68,46,62,0,66
2015-09-13,75,64,0,69,72,41,42,67,52,52,53,0,74
2015-09-20,74,63,49,65,74,51,42,76,60,68,64,0,46
2015-09-27,97,71,100,76,82,46,58,62,69,0,39,0,53
2015-10-04,72,62,0,70,81,44,49,76,56,48,63,0,58
2015-10-11,73,63,0,69,80,47,44,52,80,57,59,0,74
2015-10-18,68,62,0,67,81,47,65,76,72,47,49,0,64
2015-10-25,70,62,30,84,80,45,46,63,52,0,73,0,73
2015-11-01,84,62,0,73,86,44,57,71,87,43,68,0,78
2015-11-08,76,59,0,63,94,43,45,75,65,40,67,0,67
2015-11-15,75,60,44,65,87,47,47,54,61,52,85,0,65
2015-11-22,67,60,0,64,91,52,56,60,43,41,82,0,40
2015-11-29,82,64,27,70,85,47,35,52,68,0,100,0,42
2015-12-06,69,65,0,73,82,51,37,77,61,0,74,0,45
2015-12-13,77,63,0,67,85,51,52,60,60,0,69,0,54
2015-12-20,81,67,0,63,82,47,100,85,52,57,57,0,75
2015-12-27,100,100,0,93,100,74,58,70,51,0,96,0,37
2016-01-03,95,75,0,92,94,69,74,88,62,60,69,0,73
2016-01-10,75,65,0,88,81,59,42,83,53,0,79,0,64
2016-01-17,81,63,0,78,76,60,40,57,61,0,93,0,51
2016-01-24,73,62,0,87,88,64,53,89,44,0,72,0,55
2016-01-31,88,69,0,86,87,55,57,99,63,0,71,0,54
2016-02-07,83,73,0,76,90,54,41,87,52,0,58,0,56
