date,Astrology,Horoscope,Psychic,Tarot reading,Numerology,Palm reading,Clairvoyant,Crystal ball,Magic spells,Occult,Spiritual healing,Witchcraft,Mediumship,Superstition
2015-06-21,64,83,68,95,52,58,28,41,79,59,69,59,0,59
2015-06-28,86,92,74,91,56,60,28,45,76,51,58,61,42,76
2015-07-05,68,84,73,98,55,58,26,49,81,58,72,54,0,60
2015-07-12,58,84,70,96,58,58,24,49,85,55,70,61,0,56
2015-07-19,65,81,72,94,49,60,25,53,88,54,73,58,0,54
2015-07-26,78,85,72,100,56,57,23,49,100,59,51,64,0,56
2015-08-02,73,84,72,90,53,49,23,47,88,56,61,67,0,54
2015-08-09,68,83,68,92,58,56,24,45,85,60,94,66,44,60
2015-08-16,66,84,71,93,54,51,24,51,73,54,66,60,0,72
2015-08-23,67,84,69,85,58,53,25,42,72,58,68,68,0,55
2015-08-30,70,78,65,83,54,53,23,48,68,60,58,65,0,63
2015-09-06,63,77,64,78,53,54,29,52,74,61,83,77,39,57
2015-09-13,65,75,66,75,53,39,31,41,73,60,60,78,40,58
2015-09-20,65,84,64,87,51,49,24,55,74,62,65,82,0,62
2015-09-27,93,88,64,85,55,49,28,58,77,66,82,90,52,63
2015-10-04,62,83,65,82,48,43,28,48,88,61,73,83,34,66
2015-10-11,58,76,69,86,51,47,28,50,84,65,93,93,0,66
2015-10-18,55,76,62,81,49,53,26,53,84,55,64,93,36,62
2015-10-25,57,75,63,84,50,51,34,54,93,65,56,100,34,71
2015-11-01,76,75,64,84,54,51,29,51,70,61,68,94,0,61
2015-11-08,61,77,65,76,54,57,27,59,76,61,62,78,0,73
2015-11-15,57,68,58,82,50,57,25,49,71,57,70,98,33,62
2015-11-22,62,70,57,84,53,49,24,45,75,55,49,79,0,60
2015-11-29,69,71,60,83,48,44,25,54,57,53,76,94,0,63
2015-12-06,58,69,57,84,52,44,24,52,53,54,55,86,0,55
2015-12-13,57,73,58,89,53,59,25,58,68,50,64,74,0,64
2015-12-20,65,78,62,97,63,100,23,56,79,50,71,66,0,78
2015-12-27,79,99,80,95,83,76,30,77,76,51,65,68,0,100
2016-01-03,76,87,78,97,79,61,29,62,67,54,82,67,0,71
2016-01-10,66,78,78,96,76,61,28,62,66,61,74,71,0,64
2016-01-17,64,79,70,96,56,61,39,68,73,58,61,73,0,65
