date,Astrology,Horoscope,Fortune telling,Psychic,Tarot reading,Numerology,Palm reading,Clairvoyant,Crystal ball,Magic spells,Occult,Spiritual healing,Witchcraft,Mediumship,Superstition
2004-01-01,100,48,90,75,39,70,73,0,42,100,68,0,100,0,72
2004-02-01,88,39,0,58,53,75,70,60,0,66,67,0,72,0,80
2004-03-01,74,38,0,85,36,52,100,76,0,53,87,0,72,0,47
2004-04-01,76,36,0,67,31,77,49,55,71,76,63,0,61,0,57
2004-05-01,75,36,83,72,42,100,62,66,35,46,47,0,65,0,81
2004-06-01,95,41,100,68,32,58,50,71,56,41,67,80,61,0,44
2004-07-01,80,36,0,69,50,51,95,0,46,64,100,0,53,0,48
2004-08-01,90,40,81,83,42,78,98,88,0,66,80,0,60,0,46
2004-09-01,80,39,66,77,40,59,85,77,0,42,63,100,54,0,43
2004-10-01,73,41,0,93,33,62,80,56,57,55,54,73,62,0,58
2004-11-01,79,38,79,64,38,67,58,53,59,34,64,0,67,0,53
2004-12-01,86,42,0,62,40,62,61,0,61,45,61,0,49,100,67
2005-01-01,84,48,61,66,30,81,85,46,38,40,56,0,60,0,63
2005-02-01,75,43,79,67,30,49,54,55,36,35,74,0,56,0,58
2005-03-01,71,33,54,59,35,41,66,64,44,40,49,0,47,0,59
2005-04-01,72,40,59,70,35,59,65,45,32,38,60,58,49,0,53
2005-05-01,71,41,84,62,25,68,60,50,35,59,48,69,51,0,68
2005-06-01,72,43,82,64,40,50,76,0,35,61,43,0,60,0,61
2005-07-01,71,44,88,62,37,74,74,59,37,59,56,53,39,56,24
2005-08-01,73,39,60,69,40,61,86,88,47,43,71,0,33,60,50
2005-09-01,68,39,0,72,23,65,48,60,34,45,56,0,47,0,44
2005-10-01,67,40,66,69,34,64,80,58,37,52,48,39,50,49,65
2005-11-01,61,41,53,60,35,52,81,50,58,29,48,39,44,0,53
2005-12-01,70,46,40,56,37,62,76,47,27,38,60,57,39,0,59
2006-01-01,84,51,54,57,29,68,80,49,49,41,44,53,49,0,66
2006-02-01,67,44,39,64,36,65,63,40,28,46,52,0,39,0,45
2006-03-01,61,40,58,52,33,55,64,47,40,36,46,56,36,34,46
2006-04-01,57,37,37,59,38,51,93,52,40,39,40,41,31,0,50
2006-05-01,58,38,57,54,27,46,65,52,37,31,43,46,37,36,46
2006-06-01,58,36,48,56,26,48,61,50,25,33,42,37,31,0,56
2006-07-01,58,40,40,58,39,53,60,55,37,33,48,40,23,44,40
2006-08-01,58,38,39,62,47,58,48,57,100,39,43,68,22,36,39
2006-09-01,58,39,29,57,40,59,54,68,79,25,37,53,37,35,40
2006-10-01,53,38,38,62,39,52,37,55,53,29,48,49,29,0,53
2006-11-01,51,37,0,56,46,55,67,51,45,29,39,46,32,0,38
2006-12-01,58,43,58,50,40,52,51,31,43,32,36,37,28,47,42
2007-01-01,61,42,44,53,32,51,45,50,48,27,36,51,27,37,50
2007-02-01,59,44,46,57,39,65,69,47,36,26,31,37,25,0,36
2007-03-01,48,40,51,59,43,56,58,57,42,30,41,28,29,27,43
2007-04-01,52,40,53,69,44,53,61,57,44,22,32,38,25,30,37
2007-05-01,50,38,39,72,43,44,55,67,43,26,32,36,24,26,35
2007-06-01,49,39,42,62,44,51,52,54,32,28,36,38,24,22,45
2007-07-01,52,38,35,58,42,71,42,58,31,30,31,39,24,34,43
2007-08-01,51,41,52,78,40,71,53,75,36,28,30,36,19,26,40
2007-09-01,51,40,28,60,37,45,51,57,31,18,27,43,28,29,38
2007-10-01,48,38,34,61,39,48,51,55,42,30,33,34,31,30,43
2007-11-01,47,42,37,48,38,44,50,45,40,25,33,28,27,21,37
2007-12-01,58,43,41,49,37,56,42,44,40,25,33,27,25,0,43
2008-01-01,55,45,45,63,44,52,43,56,28,23,28,35,26,17,45
2008-02-01,54,50,23,62,39,59,45,59,39,20,26,36,24,0,43
2008-03-01,52,40,31,57,38,51,55,51,31,27,32,28,28,25,50
2008-04-01,44,40,27,52,38,54,43,51,24,17,25,39,20,24,49
2008-05-01,48,41,28,55,36,45,44,53,33,26,28,26,22,22,34
2008-06-01,47,44,37,55,47,38,45,69,35,21,30,36,22,24,53
2008-07-01,50,39,27,53,41,48,43,45,38,22,24,30,16,23,35
2008-08-01,49,39,30,54,41,51,45,70,28,21,30,42,16,0,39
2008-09-01,40,34,27,49,41,43,41,55,30,23,30,36,18,20,55
2008-10-01,42,31,32,51,36,42,42,44,36,26,28,27,23,36,45
2008-11-01,41,39,31,46,32,41,35,38,38,23,29,25,24,0,49
2008-12-01,47,41,19,46,33,46,39,37,39,19,28,19,21,19,41
2009-01-01,55,52,28,48,30,45,41,52,36,21,26,24,22,16,43
2009-02-01,40,38,23,48,34,44,38,63,37,15,30,25,17,21,55
2009-03-01,38,39,29,48,30,42,30,43,36,21,26,25,20,23,55
2009-04-01,38,37,27,54,36,49,42,43,32,23,25,28,21,27,56
2009-05-01,39,36,30,57,38,45,49,49,38,25,29,38,19,17,32
2009-06-01,38,38,14,54,38,44,67,51,33,20,27,20,19,25,42
2009-07-01,40,39,25,54,35,45,36,49,26,26,31,38,18,33,38
2009-08-01,37,35,26,57,41,44,44,61,35,25,22,44,14,45,33
