date,Astrology,Horoscope,Fortune telling,Psychic,Tarot reading,Numerology,Palm reading,Clairvoyant,Crystal ball,Magic spells,Occult,Spiritual healing,Witchcraft,Mediumship,Superstition
2015-06-21,56,63,0,66,96,52,47,45,41,64,80,0,55,0,58
2015-06-28,71,70,45,63,88,46,73,56,55,61,73,62,49,0,49
2015-07-05,58,66,35,70,91,62,58,61,45,100,68,45,48,0,65
2015-07-12,65,71,67,67,94,62,59,52,60,89,72,89,55,0,59
2015-07-19,60,66,53,69,85,56,55,55,40,64,56,55,52,0,58
2015-07-26,68,68,0,69,92,46,72,70,45,59,58,70,56,100,47
2015-08-02,60,65,0,76,97,58,69,55,41,42,63,69,58,0,53
2015-08-09,62,67,0,68,86,54,47,68,50,56,54,86,57,0,61
2015-08-16,62,69,40,70,85,53,60,64,51,72,53,71,55,66,41
2015-08-23,63,64,51,74,89,53,60,61,49,71,69,72,51,73,46
2015-08-30,67,64,71,71,81,59,51,59,42,69,47,49,53,0,57
2015-09-06,60,61,45,72,87,51,44,55,40,53,57,100,60,0,51
2015-09-13,59,60,57,69,84,50,60,65,52,80,62,65,67,0,70
2015-09-20,63,63,92,68,85,44,49,63,41,50,72,71,58,81,81
2015-09-27,85,75,61,73,91,61,61,52,38,54,74,0,70,0,76
2015-10-04,60,63,35,81,85,44,56,59,59,58,63,59,56,0,65
2015-10-11,56,65,36,71,80,58,52,67,59,58,68,81,90,55,64
2015-10-18,54,57,42,73,84,53,59,67,51,61,73,57,84,0,75
2015-10-25,59,63,41,73,89,57,70,66,60,92,84,39,75,0,69
2015-11-01,74,67,42,92,87,48,63,84,63,64,70,73,74,0,56
2015-11-08,60,60,0,76,84,54,54,68,59,65,75,41,81,0,73
2015-11-15,55,55,100,62,79,51,54,46,47,49,54,0,84,0,61
2015-11-22,53,57,47,65,82,52,49,43,47,65,68,78,77,0,65
2015-11-29,67,60,32,65,79,56,56,38,61,56,61,64,60,0,56
2015-12-06,65,63,35,64,83,55,50,59,100,42,67,73,73,68,54
2015-12-13,61,62,46,63,78,66,56,40,68,64,65,42,69,0,53
2015-12-20,70,68,70,65,95,66,90,64,45,78,70,0,61,0,69
2015-12-27,86,100,66,77,100,100,98,58,47,83,64,68,68,0,70
2016-01-03,64,75,39,73,89,84,77,57,49,74,82,47,82,55,50
2016-01-10,66,64,42,74,92,57,56,58,62,54,97,55,87,0,54
2016-01-17,63,62,45,75,84,72,71,71,52,44,87,62,77,0,54
2016-01-24,54,58,0,74,82,58,53,59,47,43,77,69,64,64,58
2016-01-31,100,69,0,74,90,61,50,72,52,52,63,53,70,64,52
2016-02-07,83,70,42,80,92,59,44,61,59,52,66,78,58,0,55
2016-02-14,56,58,0,74,86,54,48,71,58,57,69,66,64,57,51
2016-02-21,57,61,51,79,85,53,47,70,62,59,83,37,70,67,54
2016-02-28,65,60,36,77,85,59,53,61,57,48,72,40,79,76,55
2016-03-06,59,62,0,83,81,54,63,62,56,65,78,80,67,0,38
2016-03-13,55,64,47,80,83,53,57,68,52,52,76,54,58,0,53
2016-03-20,58,63,55,81,81,48,76,68,50,59,62,56,73,0,57
2016-03-27,68,63,0,87,90,67,63,57,35,56,75,83,60,60,48
2016-04-03,62,61,0,94,91,49,53,68,50,68,77,81,67,0,59
2016-04-10,54,57,39,79,78,67,57,61,52,60,75,0,67,0,69
2016-04-17,58,60,53,78,83,50,53,64,64,55,69,55,60,0,57
2016-04-24,52,59,0,79,78,53,63,59,65,65,75,70,60,58,63
2016-05-01,55,62,0,75,79,63,64,51,61,64,70,48,64,57,64
2016-05-08,55,57,57,75,75,55,44,64,45,51,79,63,71,63,74
2016-05-15,54,58,80,77,77,60,58,77,43,82,69,63,61,65,53
2016-05-22,56,51,52,70,85,53,45,74,47,66,96,64,63,0,52
2016-05-29,62,57,36,72,81,58,46,100,44,54,65,0,60,0,64
2016-06-05,55,57,0,72,82,56,41,84,43,66,66,61,62,74,55
2016-06-12,60,58,0,71,78,56,38,69,40,57,76,65,55,59,62
2016-06-19,62,55,47,75,64,51,36,53,43,42,66,63,52,0,47
2016-06-26,62,57,42,75,77,55,54,60,53,49,67,46,50,0,44
2016-07-03,61,57,39,81,79,59,44,55,55,59,73,59,48,70,55
2016-07-10,56,51,48,91,83,63,30,54,49,52,64,57,49,74,51
2016-07-17,54,55,0,95,87,50,42,65,47,66,68,56,52,0,56
2016-07-24,59,60,0,100,83,49,55,59,54,42,63,41,52,59,48
2016-07-31,62,63,0,88,85,62,59,62,49,52,62,79,54,0,35
2016-08-07,53,53,44,86,83,61,68,67,47,41,56,0,37,90,55
2016-08-14,56,59,0,93,78,69,53,54,53,45,55,82,63,0,57
2016-08-21,54,63,0,85,79,59,64,68,42,61,67,44,51,0,47
2016-08-28,62,63,0,84,79,62,65,56,36,36,71,65,59,0,61
2016-09-04,58,61,46,85,80,67,57,72,58,45,74,93,61,0,58
2016-09-11,60,62,0,77,81,53,36,88,33,46,55,82,63,0,52
2016-09-18,67,74,42,80,77,60,49,66,77,43,68,0,56,0,64
2016-09-25,60,58,0,81,70,50,36,57,49,32,70,61,64,57,59
2016-10-02,53,57,0,78,68,56,49,65,52,41,74,59,65,58,63
2016-10-09,52,58,0,76,72,57,50,70,46,49,76,0,56,0,100
2016-10-16,54,57,73,75,68,58,33,61,46,56,73,88,58,90,69
2016-10-23,51,54,59,80,74,53,39,66,58,62,76,65,91,57,67
2016-10-30,58,57,38,79,65,61,33,63,52,69,100,0,91,63,65
2016-11-06,55,53,0,82,65,64,37,59,47,66,65,75,54,0,67
2016-11-13,55,54,33,72,64,57,71,42,48,57,67,82,51,0,64
2016-11-20,49,52,0,68,60,62,48,54,54,45,75,45,52,0,61
2016-11-27,61,57,0,71,62,56,26,47,58,36,67,44,55,56,61
2016-12-04,56,58,0,69,66,45,44,40,60,56,75,74,53,0,62
2016-12-11,53,59,42,70,60,50,47,47,44,55,68,46,53,0,63
2016-12-18,50,60,47,70,59,65,39,41,55,45,88,64,41,0,61
2016-12-25,64,69,57,69,57,91,50,39,42,73,65,49,63,0,83
2017-01-01,69,85,40,76,77,74,100,44,48,60,80,81,100,0,86
2017-01-08,56,62,0,72,59,90,60,53,53,55,75,40,72,56,85
2017-01-15,52,59,0,77,67,67,39,55,48,56,72,64,64,0,71
2017-01-22,56,65,38,72,68,85,64,49,40,58,57,35,71,0,83
2017-01-29,64,64,32,74,67,60,58,83,38,39,69,79,61,53,60
2017-02-05,60,58,59,77,68,51,44,52,45,32,83,47,70,0,64
2017-02-12,55,55,0,78,71,52,52,53,51,43,82,0,57,0,56
2017-02-19,58,63,50,83,64,64,62,61,59,52,67,59,75,0,52
2017-02-26,54,54,0,76,67,58,49,52,52,75,75,80,87,64,64
2017-03-05,51,58,78,68,55,59,66,54,41,42,76,0,77,0,58
2017-03-12,53,54,0,71,58,61,55,59,40,60,82,39,55,0,65
2017-03-19,47,57,34,70,61,56,53,64,38,40,62,54,62,0,58
2017-03-26,55,57,0,70,64,50,44,50,49,41,69,47,50,0,63
2017-04-02,51,56,0,76,55,53,53,51,39,53,95,70,52,0,55
2017-04-09,56,57,0,76,53,57,71,66,53,43,70,68,57,70,57
2017-04-16,50,59,0,79,56,68,49,54,51,44,75,68,58,67,56
2017-04-23,50,53,0,72,60,51,51,69,47,51,71,69,58,60,63
2017-04-30,55,56,40,74,58,48,51,47,49,36,75,61,57,0,52
2017-05-07,53,56,0,73,61,53,33,96,32,51,71,47,51,0,62
2017-05-14,46,55,0,66,80,58,54,65,43,36,72,53,53,0,61
2017-05-21,53,56,53,68,69,69,32,51,49,37,91,63,47,0,81
2017-05-28,60,56,0,69,73,74,46,53,40,52,76,0,60,79,49
2017-06-04,52,53,0,68,67,59,44,54,48,37,84,51,95,53,48
2017-06-11,54,55,40,66,76,66,50,54,38,57,74,38,57,0,60
2017-06-18,54,53,41,67,77,56,51,51,38,32,63,0,57,0,56
