date,Astrology,Horoscope,Fortune telling,Psychic,Tarot reading,Numerology,Palm reading,Clairvoyant,Crystal ball,Magic spells,Occult,Spiritual healing,Witchcraft,Mediumship,Superstition
2015-06-21,60,53,0,49,67,52,0,46,0,0,0,0,0,0,0
2015-06-28,68,60,0,50,62,0,0,45,0,0,0,0,100,0,0
2015-07-05,50,49,0,55,65,48,0,0,0,0,0,72,0,0,0
2015-07-12,49,49,0,38,74,58,0,0,0,0,0,0,0,0,0
2015-07-19,73,51,0,32,65,66,0,0,0,0,74,0,0,0,0
2015-07-26,80,57,0,63,48,38,0,0,0,0,87,0,0,0,0
2015-08-02,52,48,0,62,70,44,0,0,0,0,0,0,0,0,0
2015-08-09,58,53,0,59,47,42,0,0,0,0,0,0,0,0,0
2015-08-16,69,58,0,49,56,40,0,42,0,0,0,0,0,0,0
2015-08-23,64,64,0,52,78,51,0,0,100,0,0,0,0,0,0
2015-08-30,60,63,0,54,57,47,0,0,0,0,0,0,0,0,0
2015-09-06,56,50,0,69,60,36,0,0,0,0,0,0,0,0,0
2015-09-13,69,49,0,59,59,46,0,0,0,0,0,0,0,0,0
2015-09-20,66,53,0,62,73,47,0,0,0,0,0,0,0,0,0
2015-09-27,92,62,0,60,69,56,0,0,0,0,0,0,0,0,0
2015-10-04,88,60,0,70,82,45,0,0,0,0,0,0,0,0,0
2015-10-11,60,50,0,49,54,69,0,0,0,0,0,0,0,0,0
2015-10-18,68,51,0,70,0,84,0,0,0,0,0,0,0,0,0
2015-10-25,54,56,0,34,57,46,0,0,0,0,0,0,0,0,0
2015-11-01,87,50,0,47,57,59,0,0,0,0,0,0,0,0,0
2015-11-08,65,54,0,70,51,34,0,64,0,0,0,0,0,0,0
2015-11-15,46,57,0,53,60,42,0,0,0,0,0,0,0,0,0
2015-11-22,59,51,0,49,87,47,0,0,0,0,0,0,0,0,0
2015-11-29,66,58,0,36,68,61,0,0,0,0,0,0,57,0,0
2015-12-06,62,54,0,65,65,52,0,0,0,0,0,0,0,0,0
2015-12-13,43,56,0,36,73,75,0,0,0,0,0,0,0,0,0
2015-12-20,58,62,0,52,59,43,82,0,0,0,0,0,0,0,91
2015-12-27,100,97,0,84,88,100,0,0,0,0,0,0,0,0,0
2016-01-03,82,79,0,76,85,46,0,61,0,0,0,0,0,0,0
2016-01-10,80,65,0,63,78,50,0,0,0,0,88,0,0,0,0
2016-01-17,75,61,0,84,75,40,0,0,0,100,0,0,0,0,0
2016-01-24,47,61,0,92,61,55,0,0,0,0,0,0,0,0,0
2016-01-31,70,62,0,87,76,55,0,0,0,0,0,0,0,0,0
2016-02-07,73,70,0,91,62,54,0,100,0,0,0,0,0,0,0
2016-02-14,58,56,0,54,95,73,0,42,0,0,0,0,0,0,0
2016-02-21,71,55,0,75,67,47,0,0,0,0,0,0,0,0,78
